                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0234,                 2.1135,                 0.8492,                 1.3032,                0.90703,                0.81987,                 0.8565,                 0.7466,                 0.9005,                0.82249,                0.84797,                0.70833,                0.45688,                0.84628,                0.42263,                0.97664,               0.007723,               0.007723,               0.007723
                     72,                  1.037,                 2.1416,                0.86291,                 1.3194,                0.91103,                0.82552,                0.85564,                0.74271,                0.90501,                0.82146,                0.84583,                0.71126,                 0.4654,                0.83716,                0.43233,                0.98126,                0.00769,                0.00769,                0.00769
                     73,                 1.0243,                  2.126,                0.85674,                 1.3147,                0.90878,                0.81535,                0.85697,                0.74632,                0.90873,                0.81417,                0.85004,                 0.7136,                0.46038,                0.83253,                 0.4276,                0.97803,               0.007657,               0.007657,               0.007657
                     74,                  1.025,                 2.1256,                0.85403,                 1.3032,                0.92598,                0.81517,                0.85924,                  0.749,                0.91293,                0.80983,                0.84523,                0.70532,                0.46669,                 0.8486,                0.43501,                0.97657,               0.007624,               0.007624,               0.007624
                     75,                 1.0213,                 2.1094,                0.84526,                  1.309,                0.91363,                0.82181,                0.85459,                0.74677,                0.91363,                0.81928,                0.84906,                0.70972,                0.45395,                 0.8476,                0.43155,                0.97354,               0.007591,               0.007591,               0.007591
                     76,                 1.0226,                 2.1286,                0.84511,                 1.3071,                0.91821,                0.82714,                0.86051,                0.74969,                0.91497,                0.82293,                0.84914,                0.70401,                0.45734,                0.84085,                0.42242,                0.97328,               0.007558,               0.007558,               0.007558
                     77,                 1.0339,                 2.1469,                0.85691,                 1.3137,                0.92037,                0.81631,                  0.859,                0.74926,                0.91716,                0.81046,                 0.8499,                0.70922,                0.45847,                0.83159,                 0.4216,                0.97362,               0.007525,               0.007525,               0.007525
                     78,                 1.0208,                 2.1235,                0.84551,                 1.2976,                0.91846,                0.82294,                0.86064,                0.75023,                0.91723,                0.81947,                 0.8525,                0.71193,                0.45473,                0.81345,                0.42232,                0.97303,               0.007492,               0.007492,               0.007492
                     79,                 1.0309,                 2.1382,                0.84961,                 1.3097,                0.90653,                0.82127,                0.85625,                0.74914,                0.90778,                0.82117,                0.85131,                0.71598,                0.45552,                0.84087,                0.41954,                0.97414,               0.007459,               0.007459,               0.007459
                     80,                 1.0173,                 2.1347,                0.84792,                 1.2979,                0.90944,                0.81686,                0.85494,                0.74484,                0.90731,                0.81207,                0.84767,                0.71375,                0.44496,                0.84115,                0.42216,                0.96778,               0.007426,               0.007426,               0.007426
                     81,                 1.0243,                 2.1333,                0.84269,                  1.304,                0.90785,                0.82129,                 0.8585,                0.74759,                0.90653,                 0.8187,                0.85075,                0.71342,                0.45655,                0.81827,                0.42122,                0.97292,               0.007393,               0.007393,               0.007393
                     82,                 1.0253,                 2.1362,                0.85323,                 1.3086,                0.91569,                0.81389,                0.86032,                0.74869,                0.90951,                0.81361,                0.85024,                0.70605,                0.46071,                0.83236,                0.42487,                0.97083,                0.00736,                0.00736,                0.00736
                     83,                 1.0074,                 2.0946,                0.83067,                 1.2979,                0.90975,                0.82188,                0.85816,                0.75138,                0.90896,                0.81472,                0.84763,                0.71264,                0.44791,                0.81517,                0.41474,                0.96792,               0.007327,               0.007327,               0.007327
                     84,                 1.0019,                 2.0805,                0.82898,                 1.2882,                 0.9156,                0.83401,                0.85552,                0.74657,                0.90785,                0.82378,                0.84521,                0.70429,                0.45294,                0.81827,                0.42585,                0.96797,               0.007294,               0.007294,               0.007294
                     85,                 1.0203,                 2.1208,                0.83661,                 1.2988,                0.90589,                0.82458,                0.85462,                0.74759,                0.91217,                0.81367,                0.84523,                0.70966,                0.44626,                0.83417,                0.41446,                0.96785,               0.007261,               0.007261,               0.007261
                     86,                 1.0174,                 2.1028,                0.83798,                 1.2974,                 0.9158,                0.82212,                0.85684,                0.75337,                0.91394,                0.82043,                0.84947,                0.71027,                0.44961,                0.81113,                0.41477,                 0.9704,               0.007228,               0.007228,               0.007228
                     87,                 1.0183,                  2.124,                0.83751,                    1.3,                0.90066,                0.82895,                0.85168,                0.74473,                0.89844,                0.82647,                0.84461,                0.70348,                0.45056,                 0.8267,                0.42639,                0.96838,               0.007195,               0.007195,               0.007195
                     88,                 0.9974,                 2.0747,                0.81344,                 1.2831,                0.90414,                0.82467,                0.86071,                0.75688,                0.90213,                0.81605,                0.84881,                0.71479,                0.43938,                0.82008,                 0.4092,                0.96326,               0.007162,               0.007162,               0.007162
                     89,                 1.0061,                 2.0961,                0.82825,                   1.29,                0.91893,                0.82329,                0.86025,                 0.7517,                0.90948,                0.82059,                0.85066,                 0.7113,                0.44823,                0.81822,                0.41185,                 0.9646,               0.007129,               0.007129,               0.007129
                     90,                 1.0001,                  2.069,                0.81491,                 1.2891,                 0.9218,                0.82219,                0.86014,                0.75577,                0.92028,                0.81932,                 0.8501,                0.71165,                0.44386,                0.81305,                   0.41,                0.96217,               0.007096,               0.007096,               0.007096
                     91,                 1.0047,                 2.1023,                0.82551,                 1.2837,                0.90506,                0.83615,                0.86221,                0.75862,                0.90435,                0.83345,                0.85399,                0.71602,                0.44153,                0.82821,                0.41471,                0.96226,               0.007063,               0.007063,               0.007063
                     92,                 1.0148,                 2.1096,                0.82594,                   1.29,                 0.9061,                 0.8313,                0.85753,                0.75215,                0.90051,                0.82584,                0.84622,                0.70434,                0.44257,                0.82245,                0.41644,                0.96113,                0.00703,                0.00703,                0.00703
